Location,Category,Address,Latitude/Longitude,Phone,Website,Schedule,Description,Lifestyle
Tarrytown Music Hall,Attraction,"13 Main St, Tarrytown, NY 10591","41.076770, -73.858384",(914) 631-3390,http://tarrytownmusichall.org,,Historic 843-seat Queen Anne theater attracting top-quality acts.,Cosmopolitan
Winston,Eatery,"130 Main St, Mt Kisco, NY 10549","41.205695, -73.727496",(914) 244-9780,http://winstonrestaurant.com,,Hip New American steakhouse with rooftop cocktail lounge.,Cosmopolitan
R Patisserie Cafe & Tea Boutique,Cafe,"302 Huguenot St, New Rochelle, NY 10801","40.909224, -73.784161",(914) 358-1841,http://rpatisserie.copm,,Authentic European patisserie and coffee bar.,Cosmopolitan
The Philip Johnson Glass House,Attraction,"199 Elm St, New Canaan, CT 06840","41.146474, -73.496831",(203) 594-9884,http://theglasshouse.org,,"Famed residence of the ""Harvard Five"" Modernist starchitect.",Cosmopolitan
Red Barn Bakery,Eatery,"4 S Astor St, Irvington, NY 10533","41.037932, -73.872758",(914) 231-7779,http://redbarn-bakery.com,,Run by celebrity baker Randell Dodge. Vegan and gluten-free items,Cosmopolitan
By the Way Bakery,Cafe,"574 Warburton Ave, Hastings-On-Hudson, NY 10706","40.995886, -73.881837",(914) 478-0555,http://btwbakery.com,,"Homey bake shop with gluten-free, dairy-free and kosher offerings.",Cosmopolitan
X20 Xaviars on Hudson,Eatery,"71 Water Grant St, Yonkers, NY 10701","40.935018, -73.904063",(914) 965-1111,http://xaviars.com,,Global American fare on glassy Victorian pier-on-Hudson.,Cosmopolitan
Bard College Richard B. Fisher Center for the Performing Arts,Attraction,"60 Manor Ave, Annandale-On-Hudson, NY 12504","42.031414, -73.902266",(845) 758-7900,http://fishercenter.bard.edu,,Frank Gehry-designed performing arts center.,Cosmopolitan
The Peekskill Brewery,Bar,"47-53 S Water St, Peekskill, NY 10566","41.286834, -73.929160",(914) 734-2337,http://peekskillbrewery.com,,Microbrewery and bar bites in sophisticated two-floor space.,Cosmopolitan
Culinary Institute of America,Attraction,"1946 Campus Dr, Hyde Park, NY 12538","41.745690, -73.932993",(845) 452-9600,http://ciachef.edu,,Hyde Park outpost of famed institution.,Cosmopolitan
42 The Restaurant,Eatery,"1 Renaissance Square, White Plains, NY 10601","41.033146, -73.767721",(914) 761-4242,http://42therestaurant.com,,New American with notable views on the 42nd floor of the Ritz-Carlton.,Cosmopolitan
Le Penguin,Eatery,"61 Lewis St, Greenwich, CT 06830","41.029125, -73.624901",(203) 717-1200,http://lepenguinbistro.com,,"French bistro specialties served in a charming, convivial space.",Cosmopolitan
RH Gallery,Shopping,"310 Greenwich Ave, Greenwich, CT 06830","41.024118, -73.625531",(203) 552-1040,http://restorationhardware.com,,Historic post office rebirthed as a cavernous Restoration Hardware showroom.,Cosmopolitan
Hoaglands,Shopping,"175 Greenwich Ave, Greenwich, CT 06830","41.028045, -73.625783",(203) 869-2127,http://www.hoaglandsofgreenwich.com/,,"Longstanding upscale gift purveylor stocking fine crystal, silver, china and more.",Cosmopolitan
The Kneaded Bread,Cafe,"181 N Main St, Port Chester, NY 10573","41.004417, -73.659744",(914) 937-9489,http://kneadedbread.com,,Chic bakery making delectable fresh breads daily.,Cosmopolitan
St. Moritz Pastry Shop,Shopping,"383 Greenwich Ave, Greenwich, CT 06830","41.022520, -73.624505",(203) 869-2818,http://stmoritzgreenwich.com,,Family-owned European bakery serving Greenwich since 1939.,Cosmopolitan
Ridge Hill,Shopping,"1 Ridge Hill Boulevard, Yonkers, NY 10710","40.964219, -73.856727",(914) 207-2900,http://ridgehill.com,,Upscale outdoor shopping center with national retailers.,Cosmopolitan
The Westchester,Shopping,"125 Westchester Ave, White Plains, NY 10601","41.031342, -73.758993",(914) 421-1333,http://simon.com,,Upscale indoor mall anchored by Nordstrom and Neiman Marcus.,Cosmopolitan
Tibbetts Brook Park,Park,"355 Midland Ave, Yonkers, NY 10704","40.923974, -73.878774",(914) 231-2865,http://parks.westchestergov.com,,"161-acre park with water park, fields, trails and more.",Cosmopolitan
Sofrito,Eatery,"175 Main St, White Plains, NY 10601","41.032490, -73.768125",(914) 428-5500,http://sofritowhiteplains.com,,Refined Puerto Rican fare and cocktails in modern space.,Cosmopolitan
Emma's Ale House,Bar,"68 Gedney Way, White Plains, NY 10605","41.013909, -73.757459",(914) 683-3662,http://emmasalehouse.com,,"Welcoming ale house, dedicated to the owner's dog, serving feel-good food.",Cosmopolitan
Sam's of Gedney Way,Eatery,"50 Gedney Way, White Plains, NY 10605","41.013849, -73.758219",(914) 949-0978,http://www.samsofgedneyway.com,,An institution in White Plains offering timeless hospitality since 1932.,Cosmopolitan
Roc-N-Ramen,Eatery,"19 Anderson St, New Rochelle, NY 10801","40.911183, -73.781054",(914) 365-1166,http://rocnramen914.com,,"Westchester's original dedicated ramen spot, with gluten-free noodles offered.",Cosmopolitan
Meli-Melo,Eatery,"362 Greenwich Ave, Greenwich, CT 06830","41.023214, -73.625168",(203) 629-6153,http://melimelogreenwich.com,,"Casual crepiere with soups, salads and Parisian vibes.",Cosmopolitan
Yonkers Brewing Company,Bar,"92 Main St, Yonkers, NY 1070","40.934320, -73.903066",(914) 226-8327,http://yonkersbrewing.com,,Brewing innovative creations like Szechuan Peppercorn Wit.,Cosmopolitan
The National,Eatery,"376 Greenwich Ave, Greenwich, CT 06830","41.022618, -73.625114",(203) 861-6851,http://thenational-ct.com,,Upscale cafe by Geoffrey Zakarian w/seasonal menus and craft cocktails.,Cosmopolitan
Bardavon 1869 Opera House,Attraction,"35 Market St, Poughkeepsie, NY 12601","41.703188, -73.928909",(845) 473-2072,http://www.bardavon.org,,"Oldest continuously-operating theater in New York, hosting major acts.",Cosmopolitan
One Twenty One,Eatery,"2 Dingle Ridge Road, North Salem, NY 10560","41.354275, -73.568544",(914) 669-0121,http://www.121restaurant.com,,Community meetingplace with innovative cuisine and classy bar scene.,Equestrian
Old Salem Farm,Farm,"190 June Rd, North Salem, NY 10560","41°20'53.0""N 73°35'40.5""W",(914) 669-5610,http://www.oldsalemfarm.net,,World-class equestrian facility hosting international competitions.,Equestrian
Yellow Monkey Village,Shopping,"792 NY-35, Cross River, NY 10518","41.262980, -73.613602",(914) 763-5848,http://yellowmonkey.com,,"Quaint roadside village of antiques, bespoke furnishings and wellness.",Equestrian
RIDE,Shopping,"648 Old Post Rd, Bedford, NY 10506","41.204406, -73.644374",(914) 234-7433,,,Hip equestrian boutique by the Village Green.,Equestrian
Blazer Pub,Bar,"440 NY-22, North Salem, NY 10560","41.313913, -73.666837",(914) 277-4424,http://www.theblazerpub.com,,Family-run pub/burger joint well known for its devoted following.,Equestrian
Fitch's Corner,Farm,"632 N Mabbettsville Rd, Millbrook, NY 12545","41.836968, -73.659395",(845) 677-5479,http://fitchscorner.com,,Privately owned 150-acre farm in Hunt Country home to renowned summer trials.,Equestrian
Horse & Hound,Eatery,"94 Spring St, South Salem, NY 10590","41.274035, -73.555654",(914) 763-3108,http://thehorseandhoundinn.com,,"18th century tavern, formerly a stagecoach stop, catering to largely local crowd.",Equestrian
Lionshare Farm,Farm,"69 E Middle Patent Rd, Greenwich, CT 06831","41.134854, -73.621995",(203) 869-4649,http://lionsharefarm.com,,Privately-owned farm on 100 acres in backcountry Greenwich.,Equestrian
Lucky Orphans Horse Rescue,Farm,"2699 NY-22, Dover Plains, NY 12522","41.708828, -73.587273",(845) 416-8583,http://luckyorphanshorserescue.org,,Foundation rescuing and housing at-risk horses.,Equestrian
Ox Ridge Hunt Club,Attraction,"512 Middlesex Rd, Darien, CT 06820","41.098211, -73.484187",(203) 655-2559,http://oxridge.com,,"Century-old equestrian club, one of the best known in Fairfield.",Equestrian
Pegasus Therapeutic Riding,Farm,"310 Peach Lake Rd, Brewster, NY 10509","41.367608, -73.573496",(845) 669-8235,http://pegasustr.org,,Foundation using equine-assisted therapy for myriad applications.,Equestrian
Horse Leap Equestrian,Shopping,"3314 NY-343, Amenia, NY 12501","41.849652, -73.555014",(845) 789-1177,http://horseleap.com,,"A fine English tack shop with schooling, show and hunting gear.",Equestrian
Cedar Crest Farm,Farm,"2054 County Rd 83, Pine Plains, NY 12567","41.955140, -73.631922",(518) 398-1034,http://equestcenter.com,,State-of-the-art facilities and classical training for the modern equestrian.,Equestrian
Mead Farm,Farm,"107 June Rd, Stamford, CT 06903","41.105135, -73.590808",(203) 322-4984,http://meadfarm.com,,"The oldest equestrian establishment in Stamford, dating to 1928.",Equestrian
Bedford Riding Lanes,Farm,"170 Cantitoe St, Katonah, NY 10536","41.237115, -73.654082",(914) 234-2752,http://bedfordridinglanes.com,,Historic system of trails and dirt roads through northeast Westchester.,Equestrian
Hayfields Market,Cafe,"1 Bloomer Road, North Salem, NY 10560","41.353400, -73.569086",(914) 669-8275,http://hayfieldsmarket.com/,,"Cafe, gifts and produce in roadside garden center.",Locavore
Union Hall General Store,Shopping,"2 Keeler Lane, North Salem, NY 10560","41.335031, -73.570597",(914) 485-1550,http://www.unionhallgeneralstore.com/,,"Emporium of bespoke, handcrafted and locally-sourced goods.",Locavore
Purdys Farmer & The Fish,Eatery,"100 Titicus Rd, North Salem, NY 10560","41.328547, -73.655584",(914) 617-8380,http://farmerandthefish.com,,Locavore favorite with on-site farm and adjacent market.,Locavore
TRUCK,Eatery,"391 Old Post Rd, Bedford, NY 10506","41.196856, -73.652243",(914) 234-8900,http://www.truckrestaurant.com,,New Mexican locavore fare amid rustic-chic decor,Locavore
John Boy's Outpost,Shopping,"1 Court Rd, Bedford, NY 10506","41.204206, -73.643653",(914) 205-3900,http://johnboysoutpost.com/,,"Market-cafe selling meats, fruit and produce from its farm.",Locavore
Harvest Moon Orchard,Farm,"130 Hardscrabble Rd, North Salem, NY 10560","41.349935, -73.634446",(914) 485-1210,http://harvestmoonfarmandorchard.com,,"You-pick orchard and farm stand selling natural, local foods.",Locavore
Mill Street Bar & Table,Eatery,"230 Mill St, Greenwich, CT 06830","41.003305, -73.656803",(203) 813-3323,http://millstreetct.com,,"Intimate upscale locavore with raw bar, cocktail den and patio.",Locavore
Restaurant North,Eatery,"386 Main St, Armonk, NY 10504","41.125191, -73.713623",(914) 273-8686,http://restaurantnorth.com,,Exciting farm to table by Danny Meyer alum Eric Gabrynowicz.,Locavore
South End,Eatery,"36 Pine St, New Canaan, CT 06840","41.144432, -73.495836",(203) 966-5200,http://southendnewcanaan.com,,Rustic-chic locavore spot by former Gramercy Tavern chef.,Locavore
The Inn at Pound Ridge,Eatery,"258 Westchester Ave, Pound Ridge, NY 10576","41.209509, -73.575275",(914) 764-1400,http://theinnatpoundridge.com,,Haute farm-to-table by Jean-Georges Vongerichten.,Locavore
Grace Farms,Attraction,"365 Lukes Wood Rd, New Canaan, CT 06840","41.197918, -73.514640",,http://gracefarms.org,,"Modern community center with ""spiritual underpinning.""",Locavore
Marbled Meat Shop,Shopping,"3091 U.S. 9, Cold Spring, NY 10516","41.454819, -73.919977",(845) 265-2830,http://www.marbledmeatshop.com,,Quality locally-sourced meats and cheese.,Locavore
Kitchen Sink Food & Drink,Eatery,"157 Main St, Beacon, NY 12508","41.508169, -73.975432",(845) 765-0240,http://kitchensinkny.com,,Eclectic mix of global and family-influenced dishes with sustainable ingredients.,Locavore
Hotel Tivoli and The Corner Restaurant,Eatery,"53 Broadway, Tivoli, NY 12583","42.058874, -73.908377",(845) 757-2100,http://hoteltivoli.org,,Chic boutique hotel and farm-to-table eatery in quaint village.,Locavore
Paper Trail,Shopping,"6423 Montgomery St, Rhinebeck, NY 12572","41.927955, -73.912573",(845) 876-8050,http://papertrailrhinebeck.com,,"Artful stationary goods, letterpress cards, creative supplies and rare gifts.",Locavore
Terrapin,Eatery,"6426 Montgomery St, Rhinebeck, NY 12572","41.928338, -73.912391",(845) 876-3330,http://terrapinrestaurant.com,,Farm-to-table brasserie and formal dining in historic church.,Locavore
Fish & Game,Eatery,"13 S 3rd St, Hudson, NY 12534","42.252683, -73.791891",(518) 822-1500,http://fishandgamehudson.com,,Hudson Valley farm-to-table by Zak Pelaccio in a former blacksmith shop.,Locavore
Crimson Sparrow,Eatery,"746 Warren St, Hudson, NY 12534","42.246387, -73.781859",(518) 671-6565,http://thecrimsonsparrow.com,,Tasting menus of inventive New American with Asian influence.,Locavore
Wm. Farmer and Sons Boarding & Barroom,Eatery,"20 S Front St, Hudson, NY 12534","42.255739, -73.795682",(518) 828-1635,http://wmfarmerandsons.com,,"Hip hotel with coffee bar, tap room and restaurant.",Locavore
Domestic Dry Goods Company,Shopping,"14 Rye Ridge Plaza, Rye Brook, NY 10573","41.002870, -73.683752",(914) 481-4822,http://domesticdrygoodscompany.com,,Uncommon made-in-America gifts for home and garden.,Locavore
Organic Pharmer,Cafe,"15 Rye Ridge Plaza, Rye Brook, NY 10573","41.002870, -73.683752",(914) 481-4300,http://organicpharmer.com,,"Organic, raw, live and vegan food by macrobiotic chefs.",Locavore
Stone Barns Center for Food and Agriculture,Farm,"630 Bedford Rd, Tarrytown, NY 10591","41.103269, -73.824322",(914) 366-6200,http://stonebarnscenter.org,,Sustainable farm complex on former Rockefeller estate grounds.,Locavore
Blue Hill at Stone Barns,Eatery,"630 Bedford Rd, Tarrytown, NY 10591","41.103269, -73.824322",(914) 366-9600,http://bluehillfarm.com,,Sister to Dan Barber's Greenwich Village steady in historic Rockefeller barn.,Locavore
Back 40 Kitchen,Eatery,"107 Greenwich Ave, Greenwich, CT 06830","41.029285, -73.625772",(203) 992-1800,http://back40kitchen.com,,"Elegant, barn-inspired space with working farm serving seasonal locavore fare.",Locavore
Fjord Fish Market,Shopping,"134 Chatsworth Ave, Larchmont, NY 10538","40.933008, -73.759452",(914) 341-1437,http://www.fjordfishmarket.com,,Responsibly-sourced seafood market.,Locavore
Crown Maple and Madava Farms,Farm,"47 McCourt Rd, Dover Plains, NY 12522","41.705233, -73.624619",(845) 877-0640,http://crownmaple.com,,Home to the trending artisan syrup maker.,Locavore
Monte's Local Kitchen,Eatery,"3330 NY-343, Amenia, NY 12501","41.850049, -73.553549",(845) 789-1818,http://monteskitchen.com,,Farm-to-table spot by longstanding NY restauranteur family.,Locavore
Four Brothers Drive-In Theatre,Attraction,"4957 NY-22, Amenia, NY 12501","41.849950, -73.557617",,http://playeatdrink.com/,,Retro drive in movie theater adjacent to pizza joint.,Locavore
Harney & Sons Fine Teas,Cafe,"13 Main St, Millerton, NY 12546","41.953280, -73.511931",(518) 789-2121,http://harney.com,,"Official shop, tasting room of the world-renowned tea blender.",Locavore
Irving Farm Coffee Roasters,Cafe,"44 Main St, Millerton, NY 12546","41.953694, -73.509940",(518) 789-2020,http://www.irvingfarm.com,,Upstate outpost of NYC favorite.,Locavore
Oblong Books & Music,Shopping,"26 Main St, Millerton, NY 12546","41.953550, -73.510431",(518) 789-3797,http://oblongbooks.com,,Beloved indie bookstore with occasional celebrity browsers.,Locavore
Oblong Books & Music,Shopping,"6422 Montgomery St #6, Rhinebeck, NY 12572","41.927787, -73.911444",(845) 876-0500,http://oblongbooks.com,,Beloved indie bookstore with occasional celebrity browsers.,Locavore
Hammertown,Shopping,"6420 Montgomery St, Rhinebeck, NY 12572","41.928047, -73.911974",(845) 876-1450,http://hammertown.com,,Country-chic home wares.,Locavore
Pine Plains Platter,Eatery,"2987 Church St, Pine Plains, NY 12567","41.979721, -73.654943",(518) 398-0500,http://pineplainsplatter.com,,Country brunch favorite.,Locavore
bluecashew Kitchen Pharmacy,Shopping,"6423 Montgomery St, Rhinebeck, NY 12572","41.927986, -73.913011",(845) 876-1117,http://bluecashewkitchen.com,,Hip purveyor of rare culinary gifts and gadgets.,Locavore
Hopscotch,Eatery,"8 Old Post Rd S, Croton-On-Hudson, NY 10520","41.208738, -73.883674",(914) 271-1100,http://hopscotchwestchester.com,,Seasonal New American in farmhouse setting.,Locavore
Stuart's Fruit Farm,Farm,"62 Granite Springs Rd, Granite Springs, NY 10527","41.307516, -73.765508",(914) 245-2784,http://stuartsfarm.com,,Pre-Civil War farm popular for pick-your-own apples and cider doughnuts.,Locavore
Ella's Bellas,Cafe,"420, 418 Main St, Beacon, NY 12508","41.503009, -73.965807",(845) 765-8502,http://www.ellasbellasbeacon.com,,"Gluten-free bakery with backyard, roasting coffee in-house.",Locavore
Hahn Farm,Farm,"1697 Salt Point Turnpike, Salt Point, NY 12578","41.797825, -73.808595",(845) 266-3680,http://hahnfarm.com,,"Local fruit, meats and produce.",Locavore
Dutchess County Fairgrounds,Attraction,"6550 Spring Brook Ave, Rhinebeck, NY 12572","41.936334, -73.908313",(845) 876-4000,http://www.dutchessfair.com,,Home to annual fair and events throughout year.,Locavore
Panzur,Eatery,"69 Broadway, Tivoli, NY 12583","42.058978, -73.909795",(845) 757-1071,http://panzur.com,,"Creative tapas, entrees and libations.",Locavore
Murray's,Cafe,"73 Broadway, Tivoli, NY 12583",,(845) 757-6003,http://murraystivoli.com,,Hip cafe and event space serving La Colombe coffee.,Locavore
Spotty Dog Books & Ale,Shopping,"440 Warren St, Hudson, NY 12534","42.250334, -73.786934",(518) 671-6006,http://thespottydog.com,,Craft beer bar inside bookstore—inside a historic space also selling art supplies.,Locavore
Talbot & Arding,Shopping,"323 Warren St, Hudson, NY 12534","42.252287, -73.790644",(518) 828-3558,http://talbottandarding.com,,Gourmet grocer and cheese shop with flawlessly curated offerings.,Locavore
Moto Coffee Machine,Cafe,"357 Warren St, Hudson, NY 12534","42.251527, -73.789317",(518) 822-8232,http://motocoffeemachine.com,,Coffee bar and high-fashion motorcycle shop with gourmet waffle bar.,Locavore
Beekman Arms,Eatery,"6387 Mill St, Rhinebeck, NY 12572","41.926874, -73.913017",(845) 876-7077,(845) 876-7077,,The oldest continually operating hotel/tavern in America.,Locavore
Cafe Le Perche,Cafe,"230 Warren St, Hudson, NY 12534","42.253487, -73.791179",(518) 822-1850,http://cafeleperche.com,,Authentic French patisserie with courtyard baking with imported ovens.,Locavore
Old Rhinebeck Aerodrome,Attraction,"9 Norton Rd, Red Hook, NY 12571","41.969359, -73.863722",(845) 752-3200,http://www.oldrhinebeck.org,,Operating museum running weekend air shows with WWI barnstormers.,Locavore
Serevan,Eatery,"6 Autumn Ln, Amenia, NY 12501","41.844962, -73.566107",(845) 373-9800,http://serevan.com,,Inventive Mediterranean with locally-sourced ingredients.,Locavore
Babette's Kitchen,Eatery,"3293 Franklin Ave, Millbrook, NY 12545","41.785659, -73.693242",(845) 677-8602,http://babetteskitchen.com,,Homey counter service FTT food shop known for its sandwiches and baked goods.,Locavore
Chaseholm Farm,Farm,"124 Chase Rd, Pine Plains, NY 12567","41.987347, -73.618376",(518) 398-0368,http://www.chaseholmfarm.com/,,Grass-based family run dairy revived as artisan creamery.,Locavore
The Wine Enthusiast,Shopping,"333 N Bedford Rd, Mt Kisco, NY 10549","41.221583, -73.718722",(800) 356-8466,http://www.wineenthusiast.com,,Showroom at headquarters of the beloved oenophile catalog and magazine.,Locavore
Candlestock,Shopping,"16 Mill Hill Rd, Woodstock, NY 12498","42.040786, -74.117938",(845) 679-8711,http://candlestock.com,,Handmade candles made in Woodstock for 40+ years.,Locavore
Shindig,Eatery,"1 Tinker St, Woodstock, NY 12498","42.040867, -74.118428",(845) 684-7091,http://woodstockshindig.com,,Eclectic locavore dining at solid people-watching point.,Locavore
Phoenicia Diner,Eatery,"5681 NY-28, Phoenicia, NY 12464","42.071022, -74.307876",(845) 688-9957,http://phoeniciadiner.com,,Classic American comfort food reloaded in a classic mid-century setting.,Locavore
Bread Alone Bakery,Cafe,"22 Mill Hill Rd, Woodstock, NY 12498","42.040703, -74.117542",(845) 679-2108,http://breadalone.com,,"Breads, pastries sandwiches and Counter Culture coffee drinks.",Locavore
Bread Alone Bakery,Cafe,"45 E Market St, Rhinebeck, NY 12572","41.927187, -73.911082",(845) 876-3108,http://breadalone.com,,"Breads, pastries sandwiches and Counter Culture coffee drinks.",Locavore
Hudson Supermarket,Shopping,"310 Warren St, Hudson, NY 12534","42.252815, -73.790736",(518) 822-0028,http://hopspetunia.com,,A popular destination on Warren Street's antique row.,Locavore
Brunette Wine Bar,Bar,"33 Broadway, Kingston, NY 12401","41.918987, -73.983491",(845) 802-0837,http://brunettewinebar.com,,Perfection in a wine bar.,Locavore
Trolley Museum of New York,Attraction,"89 E Strand St, Kingston, NY 12401","41.920499, -73.980083",(845) 331-3399,http://tmny.org,,Trolley rides on the historic Rondout waterfront.,Locavore
Catskill Mountain Railroad,Attraction,"NY-28, Mt Tremper, NY 12457","42.053873, -74.293156",(845) 688-7400,http://catskillmtrailroad.com,,Scenic excursions along Esopus Creek on vintage trains.,Locavore
Outdated: An Antique Cafe,Cafe,"314 Wall St, Kingston, NY 12401","41.934415, -74.019602",(845) 331-0030,,,Antique shop/coffee bar combo in the uptown Stockade District.,Locavore
Bedford Post,Eatery,"954 Old Post Rd, Bedford, NY 10506","41.219551, -73.626422",(914) 234-7800,http://bedfordpostinn.com,,"Historic inn with luxe rooms, a yoga studio and two notable eateries.",Locavore
Obercreek Farm,Farm,"New Hamburg Rd, Wappingers Falls, NY 12590","41.583599, -73.935918",(845) 632-3888,http://obercreek.com,,Certified organic farm with on-site produce stand.,Locavore
Daughters Fare & Ale,Eatery,"7466 S Broadway, Red Hook, NY 12571","41.994022, -73.876160",(845) 835-8365,http://daughtersfareandale.com,,Casual locavore bites and take-out with New York craft brews.,Locavore
Poet's Walk Park,Park,"River Rd, Red Hook, NY 12571","41.981697, -73.918451",,http://www.scenichudson.org,,Stroll through woodlands and meadows with rustic pavilion.,Locavore
Pony Express To Go,Eatery,"11 Wheeler Ave, Pleasantville, NY 10570","41.134977, -73.791861",(914) 769-7669,http://ponyexpresstogo.com,,"""Naturally good fast food"" made with local/organic ingredients.",Locavore
Blue Pig,Eatery,"121 Maple St, Croton-On-Hudson, NY 10520","41.208232, -73.882877",(914) 271-3850,http://thebluepigicecream.com,,Housemade ice cream from local ingredients (some grown on-site).,Locavore
BRRZAAR,Eatery,"7 N Astor St, Irvington, NY 10533","41.040390, -73.872696",(914) 274-8118,http://www.brrzaar.com,,Organic yogurt and locally-roasted coffee in old train station.,Locavore
Big Bang Coffee Roasters,Cafe,"1008 Main St #2, Peekskill, NY 10566","41.291947, -73.919100",(914) 402-1280,http://bigbangcoffeeroasters.com,,Organic fair-trade micro roaster with comfy space and tasty noshes.,Locavore
Salinger's Orchard,Farm,"230 Guinea Rd, Brewster, NY 10509","41.362078, -73.636535",(845) 277-3521,http://salingersorchard.com,,"Famous for its pies, cider and cider doughnuts.",Locavore
Germantown Variety,Shopping,"212 Main St, Germantown, NY 12526","42.132536, -73.881515",(518) 537-7400,http://germantownvariety.com,,Remixed sells-all general store spotlighting American makers.,Locavore
Sprout Creek Farm,Farm,"34 Lauer Rd, Poughkeepsie, NY 12603","41.647789, -73.810095",(845) 485-8438,http://sproutcreekfarm.org,,"Working farm, education center and cheesemaker.",Locavore
Reservoir & Wood,Shopping,"460 Main St, Beacon, NY 12508","41.502122, -73.964431",,http://shop.reservoirandwood.com,,Curated boutique showcasing sustainable/Made in USA makers.,Locavore
Baxter Preserve,Park,"North Salem, NY 10560","41.339762, -73.580480",(914) 669-5860,http://nsolf.org,,Open space preserve on former horse race track.,Park
Washington Irving's Sunnyside,Attraction,"9 W Sunnyside Ln, Irvington, NY 10533","41.048003, -73.868553",(914) 591-8763,http://hudsonvalley.org,,Home to the writer who made Sleepy Hollow famous.,Trailblazer
Phillipsburg Manor,Attraction,"381 N Broadway, Sleepy Hollow, NY 10591","41.087939, -73.862135",(914) 366-6900,http://hudsonvalley.org,,Recreation of 17th century Dutch patroon farm.,Trailblazer
Jasper Cropsey Home and Studio,Attraction,"49 Washington Ave, Hastings-On-Hudson, NY 10706","40.993101, -73.881510",(914) 478-1372,http://www.newingtoncropsey.com,,Where the Hudson River School painter lived and worked.,Trailblazer
Van Cortlandt Manor,Attraction,"525 S Riverside Ave, Croton-On-Hudson, NY 10520","41.191597, -73.875842",(914) 366-6900,http://hudsonvalley.org,,Living history museum home to seasonal Jack O'Lantern Blaze.,Trailblazer
Teatown Lake Reservation,Park,"1600 Spring Valley Rd #1, Ossining, NY 10562","41.210992, -73.826986",(914) 762-2912,http://www.teatown.org,,Nature preserve and education center with summer camps.,Trailblazer
Ward Pound Ridge Reservation,Park,"6 Reservation Rd, Pound Ridge, NY 10576","41.244107, -73.588772",(914) 864-7317,http://hudsonvalley.org,,"Westchester's largest county park. Horseback riding, hiking, fishing.",Trailblazer
Sal J. Prezioso Mountain Lakes Park,Park,"210 Hawley Rd, North Salem, NY 10560","41.311015, -73.562250",(914) 864-7312,http://parks.westchestergov.com,,"Hiking, cross country skiing trails, a ropes course and shelters/cabins for rent",Trailblazer
Croton Aqueduct Trail,Trail,"Ossining, NY 10562","41.165712, -73.864866",,http://nysparks.com,,Retrace the history of NYC's water supply on this historic 22-mile path.,Trailblazer
North County Trailway,Trail,"Millwood, NY 10546","41.204885, -73.788015",,http://parks.westchestergov.com/trailways,,20+ miles of paved multi-use path on old Putnam Division railroad. ,Trailblazer
South County Trailway,Trail,"Yonkers, NY 10703","40.933977, -73.872916",,http://parks.westchestergov.com/trailways,,20+ miles of paved multi-use path on old Putnam Division railroad. ,Trailblazer
Dutchess Rail Trail,Trail,"Hopewell Junction, NY 12533","41.650944, -73.857615",,http://www.dutchessrailtrail.com,,13-mile paved route connecting with Walkway Over the Hudson.,Trailblazer
